Date,Open,High,Low,Close,Volume
2019-09-27,136.85,137.13,135.9,136.28,114515
2019-09-26,136.28,136.79,135.2,136.7,183155
2019-09-25,134.75,135.33,133.98,135.02,167986
2019-09-24,136.09,136.73,135.45,135.8,240973
2019-09-23,133.67,135.07,133.67,134.77,109964
2019-09-20,135.46,136.12,134.92,134.96,102883
2019-09-19,135.22,135.53,134.83,134.95,74320
2019-09-18,135.94,136.02,134.97,135.44,85365
2019-09-17,135.4,136.28,135.3,136.21,151333
2019-09-16,134.6,134.67,133.95,134.35,142657
2019-09-13,135.18,135.58,135.03,135.06,197288
2019-09-12,133.73,134.7,133.73,134.2,118739
2019-09-11,134.04,134.37,133.74,133.96,195781
2019-09-10,132.02,132.3,131.76,132.06,134895
2019-09-09,131.33,131.67,131.21,131.27,190889
2019-09-06,130.46,130.7,130.26,130.5,335179
2019-09-05,129.05,130.1,129.05,129.63,156913
2019-09-04,129.78,130.82,129.78,130.55,108901
2019-09-03,129.86,130.32,129.64,130.03,99054
2019-08-30,129.49,129.75,128.8,129.1,51201
2019-08-29,128.96,129.09,128.55,128.97,93237
2019-08-28,128.66,129.04,128.28,128.76,101661
2019-08-27,129.49,129.73,128.81,128.93,101176
2019-08-26,129.4,129.85,128.62,129.25,182009
2019-08-23,127.46,128.27,126.22,126.33,112464
2019-08-22,128.32,128.74,127.95,128.13,53776
2019-08-21,128.3,128.65,128.22,128.36,84712
2019-08-20,127.96,128.18,127.44,127.52,74691
2019-08-19,128.15,128.45,127.98,128.12,74742
2019-08-16,126.33,127.48,126.25,127.28,118089
2019-08-15,125.96,126.14,125.35,125.87,141062
2019-08-14,126.71,126.71,124.62,125.0,186349
2019-08-13,126.8,128.42,126.7,127.9,148173
2019-08-12,127.17,127.34,126.33,126.73,125574
2019-08-09,127.72,127.97,126.66,127.47,129915
2019-08-08,127.84,128.07,126.54,127.84,107648
2019-08-07,125.86,126.97,125.53,126.72,294023
2019-08-06,125.97,126.24,124.17,125.56,191144
2019-08-05,127.9,128.31,126.2,126.8,298235
2019-08-02,126.5,127.68,126.5,127.44,102296
2019-08-01,128.68,129.86,127.63,128.1,124256
2019-07-31,127.94,128.37,126.88,127.54,205652
2019-07-30,129.59,129.91,129.17,129.59,90735
2019-07-29,130.12,130.58,130.07,130.19,136136
2019-07-26,130.18,130.69,129.84,130.4,89740
2019-07-25,131.51,131.51,130.67,130.95,116252
2019-07-24,130.73,131.6,130.69,131.44,160249
2019-07-23,130.16,130.44,130.03,130.21,105693
2019-07-22,129.6,130.04,129.33,129.6,266433
2019-07-19,129.77,130.06,128.51,128.65,416478
2019-07-18,127.76,128.64,127.76,128.29,231995
2019-07-17,127.98,128.12,127.64,127.84,178112
2019-07-16,126.88,127.81,126.78,127.1,224044
2019-07-15,126.6,126.99,125.74,126.14,117276
2019-07-12,125.91,126.63,125.51,126.21,120320
2019-07-11,125.59,125.59,124.89,125.27,75806
2019-07-10,125.14,126.18,125.14,125.89,133096
2019-07-09,125.37,125.41,124.93,125.41,86552
2019-07-08,124.8,125.95,124.71,125.38,172973
2019-07-05,124.67,125.16,124.47,125.09,76183
2019-07-03,125.38,125.94,124.75,125.34,72912
2019-07-02,124.82,125.75,124.82,125.51,175218
2019-07-01,125.15,125.31,123.85,124.32,181560
2019-06-28,122.64,122.97,122.39,122.54,84732
2019-06-27,122.47,123.04,122.02,122.22,56684
2019-06-26,122.47,122.59,121.71,121.85,97316
2019-06-25,123.32,123.32,122.0,122.48,110614
2019-06-24,123.6,123.73,123.25,123.33,158821
2019-06-21,123.26,123.75,123.26,123.37,89873
2019-06-20,124.44,124.51,123.79,124.33,84065
2019-06-19,123.73,123.81,123.26,123.74,76253
2019-06-18,123.35,124.02,123.24,123.9,122124
2019-06-17,122.83,123.01,122.36,122.72,86269
2019-06-14,122.99,123.19,122.8,122.93,156127
2019-06-13,122.99,123.33,122.74,123.33,121236
2019-06-12,123.63,124.52,123.63,124.21,235888
2019-06-11,123.04,123.78,122.92,123.53,155342
2019-06-10,122.01,122.48,121.92,122.04,120105
2019-06-07,120.52,121.43,120.45,120.96,121748
2019-06-06,119.63,120.03,119.44,119.88,117935
2019-06-05,119.09,119.58,118.63,118.81,137744
2019-06-04,117.34,118.37,117.12,118.14,231175
2019-06-03,116.2,116.88,116.06,116.75,103171
2019-05-31,115.88,116.34,115.73,116.2,183527
2019-05-30,118.38,118.52,117.98,118.35,127410
2019-05-29,118.48,118.48,117.51,118.15,127154
2019-05-28,118.47,119.25,117.98,118.0,146999
2019-05-24,117.45,117.49,116.66,117.16,122651
2019-05-23,116.01,116.48,115.68,116.09,117887
2019-05-22,116.4,116.6,115.9,115.95,108886
2019-05-21,116.47,117.0,116.08,116.87,125769
2019-05-20,116.74,117.4,116.5,116.73,158132
2019-05-17,116.99,117.7,116.81,117.01,338043
2019-05-16,117.75,118.88,117.61,118.5,162814
2019-05-15,117.46,119.47,117.07,119.23,277524
2019-05-14,117.48,118.34,117.34,117.68,138470
2019-05-13,116.62,117.64,116.41,116.87,211071
2019-05-10,117.53,118.14,116.35,117.87,144743
